on road old,on road now,years,km,rating,condition,economy,top speed,hp,torque,current price,depreciation,km_per_year,performance,value_score
503327.0,873403.0,7.0,101416.0,3.0,8.0,9.0,171.0,77.0,128.0,291031.5,212295.5,12677.0,205.0,27.0
539063.0,853655.0,5.0,95921.0,2.0,9.0,15.0,195.0,101.0,96.0,340961.5,198101.5,15986.833333333334,197.0,30.0
647186.0,834325.0,3.0,60666.0,4.0,1.0,9.0,146.0,107.0,125.0,498712.0,148474.0,15166.5,232.0,36.0
602944.0,734207.0,7.0,117240.0,4.0,9.0,15.0,148.0,73.0,77.0,221510.0,381434.0,14655.0,150.0,60.0
519091.0,843455.0,3.0,74762.0,2.0,5.0,10.0,138.0,76.0,73.0,383875.5,135215.5,18690.5,149.0,20.0
585069.0,872644.0,6.0,104912.0,2.0,1.0,11.0,176.0,70.0,137.0,305589.0,279480.0,14987.42857142857,207.0,22.0
640397.0,883688.0,3.0,86838.0,1.0,7.0,11.0,181.0,96.0,119.0,423231.5,217165.5,21709.5,215.0,11.0
688765.0,766206.0,2.0,93280.0,3.0,2.0,14.0,145.0,51.0,78.0,354722.0,334043.0,31093.333333333332,129.0,42.0
547423.0,780992.0,5.0,53658.0,2.0,7.0,11.0,167.0,63.0,91.0,456653.5,90769.5,8943.0,154.0,22.0
512809.0,861615.0,3.0,88429.0,5.0,7.0,14.0,174.0,54.0,85.0,343595.0,169214.0,22107.25,139.0,70.0
617740.0,730220.0,2.0,121698.0,1.0,8.0,13.0,156.0,89.0,96.0,203811.5,413928.5,40566.0,185.0,13.0
556907.0,848329.0,7.0,135305.0,5.0,7.0,14.0,197.0,52.0,84.0,163225.0,393682.0,16913.125,136.0,70.0
519884.0,721572.0,2.0,92717.0,4.0,9.0,12.0,192.0,76.0,73.0,280123.0,239761.0,30905.666666666668,149.0,48.0
558831.0,809509.0,7.0,74814.0,5.0,6.0,15.0,156.0,75.0,104.0,382241.0,176590.0,9351.75,179.0,75.0
614671.0,850494.0,4.0,52443.0,2.0,6.0,15.0,163.0,88.0,124.0,526502.5,88168.5,10488.6,212.0,30.0
648198.0,858419.0,2.0,125519.0,3.0,8.0,8.0,185.0,105.0,109.0,267953.5,380244.5,41839.666666666664,214.0,24.0
620963.0,829511.0,3.0,95513.0,2.0,3.0,8.0,153.0,118.0,96.0,343416.5,277546.5,23878.25,214.0,16.0
557758.0,774611.0,5.0,122976.0,5.0,4.0,9.0,179.0,105.0,75.0,175012.5,382745.5,20496.0,180.0,45.0
623722.0,888511.0,3.0,98190.0,2.0,10.0,15.0,166.0,112.0,75.0,413540.0,210182.0,24547.5,187.0,30.0
