v.id,on road old,on road now,years,km,rating,condition,economy,top speed,hp,torque,current price
30,503327,873403,7,101416,3,8,9,171,77,128,291031.5
536,539063,853655,5,95921,2,9,15,195,101,96,340961.5
696,647186,834325,3,60666,4,1,9,146,107,125,498712.0
558,602944,734207,7,117240,4,9,15,148,73,77,221510.0
837,519091,843455,3,74762,2,5,10,138,76,73,383875.5
597,585069,872644,6,104912,2,1,11,176,70,137,305589.0
166,640397,883688,3,86838,1,7,11,181,96,119,423231.5
919,688765,766206,2,93280,3,2,14,145,51,78,354722.0
496,547423,780992,5,53658,2,7,11,167,63,91,456653.5
825,512809,861615,3,88429,5,7,14,174,54,85,343595.0
66,617740,730220,2,121698,1,8,13,156,89,96,203811.5
142,556907,848329,7,135305,5,7,14,197,52,84,163225.0
926,519884,721572,2,92717,4,9,12,192,76,73,280123.0
828,558831,809509,7,74814,5,6,15,156,75,104,382241.0
656,614671,850494,4,52443,2,6,15,163,88,124,526502.5
332,648198,858419,2,125519,3,8,8,185,105,109,267953.5
665,620963,829511,3,95513,2,3,8,153,118,96,343416.5
250,557758,774611,5,122976,5,4,9,179,105,75,175012.5
908,623722,888511,3,98190,2,10,15,166,112,75,413540.0
709,662318,710417,4,82204,4,2,14,141,101,73,357823.0
306,536651,748422,5,63020,4,7,8,186,82,95,398023.0
735,598238,851789,4,131374,5,2,9,181,91,68,200794.5
976,528703,855562,3,92369,5,4,14,176,70,138,324899.5
50,596607,792572,4,95771,1,9,12,136,88,115,340760.0
897,699714,862931,6,89279,2,7,8,153,78,140,428955.5
3,686990,770762,2,132538,2,8,15,181,53,97,215386.0
545,599775,780803,4,89421,4,9,13,188,55,83,362377.0
351,694702,767448,6,98217,2,4,11,190,76,106,335093.5
905,601147,761283,6,122209,4,7,14,167,117,136,197714.5
537,548082,732388,5,88960,3,2,12,143,71,70,283184.0
345,672201,741077,3,81786,1,1,13,138,91,69,379608.0
995,675458,713650,5,149729,3,6,10,154,77,122,98311.5
482,686601,879334,7,142201,5,1,12,135,65,114,207552.0
576,593981,840526,4,65756,3,3,9,200,66,69,454168.5
34,639183,859130,2,146017,4,4,9,162,55,75,166283.0
32,624535,801702,5,67075,1,8,15,138,110,75,459914.5
232,692378,826787,3,112953,2,5,11,188,53,81,309449.0
